ID,prompt,model,repeat,relation_index,argument_index,status,argument,lemma,decision,POS_evidence_json,premise,hypothesis
114368470.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,standing in line,stand in line,changed,"[{""sentence"":""premise"",""span"":""standing in line"",""pos_tags"":[""VBG"",""IN"",""NN""]}]",Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.
114368470.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,waiting,wait,changed,"[{""sentence"":""hypothesis"",""span"":""waiting"",""pos_tags"":[""VBG""]}]",Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.
1192,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,woods,wood,changed,"[{""sentence"":""premise"",""span"":""woods"",""pos_tags"":[""NNS""]}]",A man and a woman are walking together through the woods,A man and a woman are walking through a wooded area
1192,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,wooded area,wooded area,unchanged,"[{""sentence"":""hypothesis"",""span"":""wooded area"",""pos_tags"":[""JJ"",""NN""]}]",A man and a woman are walking together through the woods,A man and a woman are walking through a wooded area
119364730.jpg#3r1e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,wooden hammer,wooden hammer,unchanged,"[{""sentence"":""premise"",""span"":""wooden hammer"",""pos_tags"":[""JJ"",""NN""]}]","A man wearing a plastic bib with a crab on it, holds up a wooden hammer.",A man holding a hammer.
119364730.jpg#3r1e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,hammer,hammer,unchanged,"[{""sentence"":""premise"",""span"":""hammer"",""pos_tags"":[""NN""]},{""sentence"":""hypothesis"",""span"":""hammer"",""pos_tags"":[""NN""]}]","A man wearing a plastic bib with a crab on it, holds up a wooden hammer.",A man holding a hammer.
1262,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,perform,perform,absent,[],A band is performing onstage,A band is playing onstage
1262,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,play,play,absent,[],A band is performing onstage,A band is playing onstage
1403064674.jpg#3r1e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,guy,guy,unchanged,"[{""sentence"":""premise"",""span"":""guy"",""pos_tags"":[""NN""]}]",A guy looking out over the scenic forest.,A person is viewing the forest.
1403064674.jpg#3r1e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,person,person,unchanged,"[{""sentence"":""hypothesis"",""span"":""person"",""pos_tags"":[""NN""]}]",A guy looking out over the scenic forest.,A person is viewing the forest.
1403064674.jpg#3r1e,lasha,anthropic/claude-haiku-4.5,1,2,1,valid,look out over,look out over,absent,[],A guy looking out over the scenic forest.,A person is viewing the forest.
1403064674.jpg#3r1e,lasha,anthropic/claude-haiku-4.5,1,2,2,valid,view,view,absent,[],A guy looking out over the scenic forest.,A person is viewing the forest.
1405221276.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,dry,dry,unchanged,"[{""sentence"":""premise"",""span"":""dry"",""pos_tags"":[""JJ""]},{""sentence"":""hypothesis"",""span"":""dry"",""pos_tags"":[""JJ""]}]",Two dogs shaking themselves dry on the sand.,Two dogs shake off water to get dry.
1405221276.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,get dry,get dry,unchanged,"[{""sentence"":""hypothesis"",""span"":""get dry"",""pos_tags"":[""VB"",""JJ""]}]",Two dogs shaking themselves dry on the sand.,Two dogs shake off water to get dry.
1405221276.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,1,2,1,valid,shake,shake,unchanged,"[{""sentence"":""hypothesis"",""span"":""shake"",""pos_tags"":[""VBP""]}]",Two dogs shaking themselves dry on the sand.,Two dogs shake off water to get dry.
1405221276.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,1,2,2,valid,shake off,shake off,unchanged,"[{""sentence"":""hypothesis"",""span"":""shake off"",""pos_tags"":[""VBP"",""RP""]}]",Two dogs shaking themselves dry on the sand.,Two dogs shake off water to get dry.
1412,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,log,log,absent,[],Men are sawing logs,Men are cutting wood
1412,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,wood,wood,unchanged,"[{""sentence"":""hypothesis"",""span"":""wood"",""pos_tags"":[""NN""]}]",Men are sawing logs,Men are cutting wood
1412,lasha,anthropic/claude-haiku-4.5,1,2,1,valid,saw,saw,absent,[],Men are sawing logs,Men are cutting wood
1412,lasha,anthropic/claude-haiku-4.5,1,2,2,valid,cut,cut,absent,[],Men are sawing logs,Men are cutting wood
1425529973.jpg#2r1e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,fish,fish,unchanged,"[{""sentence"":""premise"",""span"":""fish"",""pos_tags"":[""NN""]}]",A man perched on a row of aquariums is using a net to scoop a fish from another aquarium.,A man is moving aquatic life.
1425529973.jpg#2r1e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,aquatic life,aquatic life,unchanged,"[{""sentence"":""hypothesis"",""span"":""aquatic life"",""pos_tags"":[""JJ"",""NN""]}]",A man perched on a row of aquariums is using a net to scoop a fish from another aquarium.,A man is moving aquatic life.
1425529973.jpg#2r1e,lasha,anthropic/claude-haiku-4.5,1,2,1,valid,scoop,scoop,unchanged,"[{""sentence"":""premise"",""span"":""scoop"",""pos_tags"":[""VB""]}]",A man perched on a row of aquariums is using a net to scoop a fish from another aquarium.,A man is moving aquatic life.
1425529973.jpg#2r1e,lasha,anthropic/claude-haiku-4.5,1,2,2,valid,move,move,absent,[],A man perched on a row of aquariums is using a net to scoop a fish from another aquarium.,A man is moving aquatic life.
147236031.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,asparagus,asparagus,unchanged,"[{""sentence"":""premise"",""span"":""asparagus"",""pos_tags"":[""NN""]}]",An Asian woman is looking at the camera while trimming asparagus.,Woman cuts vegetables.
147236031.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,vegetable,vegetable,absent,[],An Asian woman is looking at the camera while trimming asparagus.,Woman cuts vegetables.
147236031.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,2,1,valid,trim,trim,absent,[],An Asian woman is looking at the camera while trimming asparagus.,Woman cuts vegetables.
147236031.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,2,2,valid,cut,cut,absent,[],An Asian woman is looking at the camera while trimming asparagus.,Woman cuts vegetables.
1495,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,play,play,absent,[],A man is playing a guitar,A man is strumming a guitar
1495,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,strum,strum,absent,[],A man is playing a guitar,A man is strumming a guitar
1497,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,strum,strum,absent,[],A man is strumming a guitar,A man is playing guitar
1497,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,play,play,absent,[],A man is strumming a guitar,A man is playing guitar
1584,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,burrow,burrow,absent,[],A hole is being burrowed by the badger,A badger is shrewdly digging the earth
1584,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,dig,dig,absent,[],A hole is being burrowed by the badger,A badger is shrewdly digging the earth
1584,lasha,anthropic/claude-haiku-4.5,1,2,1,valid,hole,hole,unchanged,"[{""sentence"":""premise"",""span"":""hole"",""pos_tags"":[""NN""]}]",A hole is being burrowed by the badger,A badger is shrewdly digging the earth
1584,lasha,anthropic/claude-haiku-4.5,1,2,2,valid,earth,earth,unchanged,"[{""sentence"":""hypothesis"",""span"":""earth"",""pos_tags"":[""NN""]}]",A hole is being burrowed by the badger,A badger is shrewdly digging the earth
158827073.jpg#2r1e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,chocolate milk powder,chocolate milk powder,unchanged,"[{""sentence"":""premise"",""span"":""chocolate milk powder"",""pos_tags"":[""NN"",""NN"",""NN""]}]",Young girl playing with chocolate milk powder.,There is a girl playing with food
158827073.jpg#2r1e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,food,food,unchanged,"[{""sentence"":""hypothesis"",""span"":""food"",""pos_tags"":[""NN""]}]",Young girl playing with chocolate milk powder.,There is a girl playing with food
1792,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,walk,walk,absent,[],A lion is slowly walking,A lion is slowly moving around
1792,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,move around,move around,absent,[],A lion is slowly walking,A lion is slowly moving around
1796608106.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,build,build,absent,[],A woman building herself a sand castle.,a women is making a sand castle
1796608106.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,make,make,absent,[],A woman building herself a sand castle.,a women is making a sand castle
2021602343.jpg#2r1e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,glower,glower,absent,[],A boy with a basketballs glowers at the camera.,The boy scowls
2021602343.jpg#2r1e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,scowl,scowl,absent,[],A boy with a basketballs glowers at the camera.,The boy scowls
207584893.jpg#3r1e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,hang glider,hang glider,unchanged,"[{""sentence"":""premise"",""span"":""Hang glider"",""pos_tags"":[""NNP"",""NN""]}]",Hang glider on beach,air sport on beach
207584893.jpg#3r1e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,air sport,air sport,unchanged,"[{""sentence"":""hypothesis"",""span"":""air sport"",""pos_tags"":[""NN"",""NN""]}]",Hang glider on beach,air sport on beach
2095711097.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,construction mason,construction mason,absent,[],Construction masons at work laying concrete blocks on a multistory building.,Concrete work is being done on a multistory building
2095711097.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,concrete work,concrete work,unchanged,"[{""sentence"":""hypothesis"",""span"":""Concrete work"",""pos_tags"":[""NNP"",""NN""]}]",Construction masons at work laying concrete blocks on a multistory building.,Concrete work is being done on a multistory building
2095711097.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,2,1,valid,lay,lay,absent,[],Construction masons at work laying concrete blocks on a multistory building.,Concrete work is being done on a multistory building
2095711097.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,2,2,valid,do,do,absent,[],Construction masons at work laying concrete blocks on a multistory building.,Concrete work is being done on a multistory building
2109479807.jpg#0r1e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,atv,atv,unchanged,"[{""sentence"":""premise"",""span"":""ATV"",""pos_tags"":[""NNP""]}]",Four females wearing helments are riding on an ATV.,Four women are driving an all terrain vehicle.
2109479807.jpg#0r1e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,all terrain vehicle,all terrain vehicle,unchanged,"[{""sentence"":""hypothesis"",""span"":""all terrain vehicle"",""pos_tags"":[""DT"",""NN"",""NN""]}]",Four females wearing helments are riding on an ATV.,Four women are driving an all terrain vehicle.
2109479807.jpg#0r1e,lasha,anthropic/claude-haiku-4.5,1,2,1,valid,female,female,absent,[],Four females wearing helments are riding on an ATV.,Four women are driving an all terrain vehicle.
2109479807.jpg#0r1e,lasha,anthropic/claude-haiku-4.5,1,2,2,valid,woman,woman,absent,[],Four females wearing helments are riding on an ATV.,Four women are driving an all terrain vehicle.
2109479807.jpg#0r1e,lasha,anthropic/claude-haiku-4.5,1,3,1,valid,ride,ride,absent,[],Four females wearing helments are riding on an ATV.,Four women are driving an all terrain vehicle.
2109479807.jpg#0r1e,lasha,anthropic/claude-haiku-4.5,1,3,2,valid,drive,drive,absent,[],Four females wearing helments are riding on an ATV.,Four women are driving an all terrain vehicle.
211,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,tree,tree,unchanged,"[{""sentence"":""premise"",""span"":""tree"",""pos_tags"":[""NN""]}]",Two dogs are playing by a tree,Two dogs are playing by a plant
211,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,plant,plant,unchanged,"[{""sentence"":""hypothesis"",""span"":""plant"",""pos_tags"":[""NN""]}]",Two dogs are playing by a tree,Two dogs are playing by a plant
2137789511.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,sand beside ocean,sand beside ocean,absent,[],A person rides his bicycle in the sand beside the ocean.,A person is on a beach.
2137789511.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,beach,beach,unchanged,"[{""sentence"":""hypothesis"",""span"":""beach"",""pos_tags"":[""NN""]}]",A person rides his bicycle in the sand beside the ocean.,A person is on a beach.
