problem_id,premise,hypothesis,gold_label,1>WN,A>WN,A>1,WN1>WN,AWN>WN,AWN>WN1
1000268201.jpg#2r1e,A little girl climbing the stairs to her playhouse.,The little girl is climbing stairs.,entailment,0,0,0,0,0,0
1000523639.jpg#4r5e,the two boys playing guitar,Two boys are playing guitar,entailment,0,0,0,0,0,0
10101477.jpg#4r3e,Asian man sweeping the walkway.,A man cleaning the floor.,entailment,1,1,0,1,1,0
1027211271.jpg#2r4e,"This person is performing a trick in skateboarding competition, with people watching in the background.",Multiple people are observing the skateboarder.,entailment,0,0,0,0,0,0
103195344.jpg#0r4e,The man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading.,The man is outside reading.,entailment,0,0,0,0,0,0
1039360778.jpg#0r3e,A woman in a blue shirt and sunglasses lies on a red blanket in a grassy field with a bike set down next to her.,A woman lying down outdoors next to a bike.,entailment,0,0,0,0,0,0
1044764620.jpg#2r2e,A construction site with building material.,A site with material.,entailment,0,0,0,0,0,0
1045124251.jpg#1r1e,A blond man wearing glasses is sitting in the train looking down at something.,A blond person wearing glasses is sitting in the train looking down at something.,entailment,0,0,0,0,0,0
104824673.jpg#0r3e,An African individual is looking into the camera while dressed in varying beads and decorations that have a cultural relevance.,An African individual is posing for a picture.,entailment,0,0,0,0,0,0
106039369.jpg#2r1e,A man in a home kitchen is flipping a pancake extremely high.,The man will try to catch the pancake.,entailment,0,0,0,0,0,0
1063866640.jpg#2r1e,Five people sitting in front of a body of water with the sun behind them.,The people sit by the water.,entailment,0,0,0,0,0,0
1088767354.jpg#2r1e,A woman wearing a red costume looks at two other people standing on a street.,The woman is outside.,entailment,0,0,0,0,0,0
1099034049.jpg#0r1e,A girl is sitting on the beach and appears to be approaching a hit on the head by a plastic inflated hammer.,The plastic hammer was full of air.,entailment,0,0,0,0,0,0
110695011.jpg#0r4e,"A man wearing a black jacket and gray slacks, stands on the sidewalk holding a sheet with something printed on it in his hand.",A person communicates with a sign.,entailment,0,0,0,0,0,0
