ID,prompt,model,repeat,status,error,premise,hypothesis,raw_KB,original_item_f1,lemmatized_item_f1,unordered_item_f1,combined_item_f1,lemma_item_f1_delta,unordered_item_f1_delta,combined_item_f1_delta,best_scoring_modes,best_item_f1_gain_over_original,any_item_f1_gain,lemma_item_f1_gain,lemma_item_f1_loss,unordered_item_f1_gain,unordered_item_f1_loss,combined_item_f1_gain,combined_item_f1_loss,original_exact_match,original_best_reference_column,original_scored_prediction,original_scored_reference,original_tp,original_fp,original_fn,lemmatized_exact_match,lemmatized_best_reference_column,lemmatized_scored_prediction,lemmatized_scored_reference,lemmatized_tp,lemmatized_fp,lemmatized_fn,unordered_exact_match,unordered_best_reference_column,unordered_scored_prediction,unordered_scored_reference,unordered_tp,unordered_fp,unordered_fn,combined_exact_match,combined_best_reference_column,combined_scored_prediction,combined_scored_reference,combined_tp,combined_fp,combined_fn,lemma_new_exact_match,unordered_new_exact_match,combined_new_exact_match
1192,lasha,openai/gpt-oss-20b,1,valid,,A man and a woman are walking together through the woods,A man and a woman are walking through a wooded area,"isa_wn(wood, wooded area)",0.0,1.0,0.0,1.0,1.0,0.0,1.0,lemmas;combined,1.0,1,1,0,0,0,1,0,0,Stefan_KB,"[[""wood"", ""wooded area""]]","[[""woods"", ""wooded area""]]",0,1,1,1,Stefan_KB,"[[""wood"", ""wooded area""]]","[[""wood"", ""wooded area""]]",1,0,0,0,Stefan_KB,"[[""wood"", ""wooded area""]]","[[""wooded area"", ""woods""]]",0,1,1,1,Stefan_KB,"[[""wood"", ""wooded area""]]","[[""wood"", ""wooded area""]]",1,0,0,1,0,1
1192,lasha,openai/gpt-oss-20b,2,valid,,A man and a woman are walking together through the woods,A man and a woman are walking through a wooded area,"isa_wn(wood, wooded area)",0.0,1.0,0.0,1.0,1.0,0.0,1.0,lemmas;combined,1.0,1,1,0,0,0,1,0,0,Stefan_KB,"[[""wood"", ""wooded area""]]","[[""woods"", ""wooded area""]]",0,1,1,1,Stefan_KB,"[[""wood"", ""wooded area""]]","[[""wood"", ""wooded area""]]",1,0,0,0,Stefan_KB,"[[""wood"", ""wooded area""]]","[[""wooded area"", ""woods""]]",0,1,1,1,Stefan_KB,"[[""wood"", ""wooded area""]]","[[""wood"", ""wooded area""]]",1,0,0,1,0,1
1192,lasha,openai/gpt-oss-20b,3,valid,,A man and a woman are walking together through the woods,A man and a woman are walking through a wooded area,"isa_wn(wood, wooded area)",0.0,1.0,0.0,1.0,1.0,0.0,1.0,lemmas;combined,1.0,1,1,0,0,0,1,0,0,Stefan_KB,"[[""wood"", ""wooded area""]]","[[""woods"", ""wooded area""]]",0,1,1,1,Stefan_KB,"[[""wood"", ""wooded area""]]","[[""wood"", ""wooded area""]]",1,0,0,0,Stefan_KB,"[[""wood"", ""wooded area""]]","[[""wooded area"", ""woods""]]",0,1,1,1,Stefan_KB,"[[""wood"", ""wooded area""]]","[[""wood"", ""wooded area""]]",1,0,0,1,0,1
119364730.jpg#3r1e,lasha,openai/gpt-5.4-mini,1,valid,,"A man wearing a plastic bib with a crab on it, holds up a wooden hammer.",A man holding a hammer.,"isa_wn(holds up, holding); isa_wn(wooden hammer, hammer)",0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,lemmas;combined,0.6666666666666666,1,1,0,0,0,1,0,0,Jorryt_KB,"[[""holds up"", ""holding""], [""wooden hammer"", ""hammer""]]",[],0,2,0,0,Lasha_KB,"[[""hold up"", ""hold""], [""wooden hammer"", ""hammer""]]","[[""hold up"", ""hold""]]",1,1,0,0,Jorryt_KB,"[[""hammer"", ""wooden hammer""], [""holding"", ""holds up""]]",[],0,2,0,0,Lasha_KB,"[[""hammer"", ""wooden hammer""], [""hold"", ""hold up""]]","[[""hold"", ""hold up""]]",1,1,0,0,0,0
119364730.jpg#3r1e,lasha,openai/gpt-5.4-mini,3,valid,,"A man wearing a plastic bib with a crab on it, holds up a wooden hammer.",A man holding a hammer.,"isa_wn(holds up, holding); isa_wn(wooden hammer, hammer)",0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,lemmas;combined,0.6666666666666666,1,1,0,0,0,1,0,0,Jorryt_KB,"[[""holds up"", ""holding""], [""wooden hammer"", ""hammer""]]",[],0,2,0,0,Lasha_KB,"[[""hold up"", ""hold""], [""wooden hammer"", ""hammer""]]","[[""hold up"", ""hold""]]",1,1,0,0,Jorryt_KB,"[[""hammer"", ""wooden hammer""], [""holding"", ""holds up""]]",[],0,2,0,0,Lasha_KB,"[[""hammer"", ""wooden hammer""], [""hold"", ""hold up""]]","[[""hold"", ""hold up""]]",1,1,0,0,0,0
119364730.jpg#3r1e,lasha,openai/gpt-5.4-mini,5,valid,,"A man wearing a plastic bib with a crab on it, holds up a wooden hammer.",A man holding a hammer.,"isa_wn(holds up, holding); isa_wn(wooden hammer, hammer)",0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,lemmas;combined,0.6666666666666666,1,1,0,0,0,1,0,0,Jorryt_KB,"[[""holds up"", ""holding""], [""wooden hammer"", ""hammer""]]",[],0,2,0,0,Lasha_KB,"[[""hold up"", ""hold""], [""wooden hammer"", ""hammer""]]","[[""hold up"", ""hold""]]",1,1,0,0,Jorryt_KB,"[[""hammer"", ""wooden hammer""], [""holding"", ""holds up""]]",[],0,2,0,0,Lasha_KB,"[[""hammer"", ""wooden hammer""], [""hold"", ""hold up""]]","[[""hold"", ""hold up""]]",1,1,0,0,0,0
1262,lasha,google/gemma-3-4b-it,1,valid,,A band is performing onstage,A band is playing onstage,"isa_wn(performing, playing)",0.0,1.0,0.0,1.0,1.0,0.0,1.0,lemmas;combined,1.0,1,1,0,0,0,1,0,0,Lasha_KB,"[[""performing"", ""playing""]]","[[""perform"", ""play""]]",0,1,1,1,Lasha_KB,"[[""perform"", ""play""]]","[[""perform"", ""play""]]",1,0,0,0,Lasha_KB,"[[""performing"", ""playing""]]","[[""perform"", ""play""]]",0,1,1,1,Lasha_KB,"[[""perform"", ""play""]]","[[""perform"", ""play""]]",1,0,0,1,0,1
1262,lasha,google/gemma-3-4b-it,2,valid,,A band is performing onstage,A band is playing onstage,"isa_wn(performing, playing)",0.0,1.0,0.0,1.0,1.0,0.0,1.0,lemmas;combined,1.0,1,1,0,0,0,1,0,0,Lasha_KB,"[[""performing"", ""playing""]]","[[""perform"", ""play""]]",0,1,1,1,Lasha_KB,"[[""perform"", ""play""]]","[[""perform"", ""play""]]",1,0,0,0,Lasha_KB,"[[""performing"", ""playing""]]","[[""perform"", ""play""]]",0,1,1,1,Lasha_KB,"[[""perform"", ""play""]]","[[""perform"", ""play""]]",1,0,0,1,0,1
1262,lasha,google/gemma-3-4b-it,3,valid,,A band is performing onstage,A band is playing onstage,"isa_wn(performing, playing)",0.0,1.0,0.0,1.0,1.0,0.0,1.0,lemmas;combined,1.0,1,1,0,0,0,1,0,0,Lasha_KB,"[[""performing"", ""playing""]]","[[""perform"", ""play""]]",0,1,1,1,Lasha_KB,"[[""perform"", ""play""]]","[[""perform"", ""play""]]",1,0,0,0,Lasha_KB,"[[""performing"", ""playing""]]","[[""perform"", ""play""]]",0,1,1,1,Lasha_KB,"[[""perform"", ""play""]]","[[""perform"", ""play""]]",1,0,0,1,0,1
1262,lasha,google/gemma-3-4b-it,4,valid,,A band is performing onstage,A band is playing onstage,"isa_wn(performing, playing)",0.0,1.0,0.0,1.0,1.0,0.0,1.0,lemmas;combined,1.0,1,1,0,0,0,1,0,0,Lasha_KB,"[[""performing"", ""playing""]]","[[""perform"", ""play""]]",0,1,1,1,Lasha_KB,"[[""perform"", ""play""]]","[[""perform"", ""play""]]",1,0,0,0,Lasha_KB,"[[""performing"", ""playing""]]","[[""perform"", ""play""]]",0,1,1,1,Lasha_KB,"[[""perform"", ""play""]]","[[""perform"", ""play""]]",1,0,0,1,0,1
