ID,prompt,model,repeat,status,error,premise,hypothesis,raw_KB,lemmatized_KB,changed_argument_occurrences,unchanged_argument_occurrences,absent_argument_occurrences,ambiguous_argument_occurrences,empty_argument_occurrences,mapping_details_json
114368470.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,valid,,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,"isa_wn(standing in line, waiting)","[[""stand in line"",""wait""]]",2,0,0,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""standing in line"",""lemma"":""stand in line"",""decision"":""changed"",""POS_evidence"":[{""sentence"":""premise"",""span"":""standing in line"",""pos_tags"":[""VBG"",""IN"",""NN""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""waiting"",""lemma"":""wait"",""decision"":""changed"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""waiting"",""pos_tags"":[""VBG""]}]}]"
1184967930.jpg#4r4e,lasha,anthropic/claude-haiku-4.5,1,non_entailment,,A dog in a field.,A dog is in grass.,NO_RELATION,,0,0,0,0,0,
1192,lasha,anthropic/claude-haiku-4.5,1,valid,,A man and a woman are walking together through the woods,A man and a woman are walking through a wooded area,"isa_wn(woods, wooded area)","[[""wood"",""wooded area""]]",1,1,0,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""woods"",""lemma"":""wood"",""decision"":""changed"",""POS_evidence"":[{""sentence"":""premise"",""span"":""woods"",""pos_tags"":[""NNS""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""wooded area"",""lemma"":""wooded area"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""wooded area"",""pos_tags"":[""JJ"",""NN""]}]}]"
119364730.jpg#3r1e,lasha,anthropic/claude-haiku-4.5,1,valid,,"A man wearing a plastic bib with a crab on it, holds up a wooden hammer.",A man holding a hammer.,"isa_wn(wooden hammer, hammer)","[[""wooden hammer"",""hammer""]]",0,2,0,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""wooden hammer"",""lemma"":""wooden hammer"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""wooden hammer"",""pos_tags"":[""JJ"",""NN""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""hammer"",""lemma"":""hammer"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""hammer"",""pos_tags"":[""NN""]},{""sentence"":""hypothesis"",""span"":""hammer"",""pos_tags"":[""NN""]}]}]"
1262,lasha,anthropic/claude-haiku-4.5,1,valid,,A band is performing onstage,A band is playing onstage,"isa_wn(perform, play)","[[""perform"",""play""]]",0,0,2,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""perform"",""lemma"":""perform"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":1,""argument_index"":2,""argument"":""play"",""lemma"":""play"",""decision"":""absent"",""POS_evidence"":[]}]"
1403064674.jpg#3r1e,lasha,anthropic/claude-haiku-4.5,1,valid,,A guy looking out over the scenic forest.,A person is viewing the forest.,"isa_wn(guy, person); isa_wn(look out over, view)","[[""guy"",""person""],[""look out over"",""view""]]",0,2,2,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""guy"",""lemma"":""guy"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""guy"",""pos_tags"":[""NN""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""person"",""lemma"":""person"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""person"",""pos_tags"":[""NN""]}]},{""relation_index"":2,""argument_index"":1,""argument"":""look out over"",""lemma"":""look out over"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":2,""argument_index"":2,""argument"":""view"",""lemma"":""view"",""decision"":""absent"",""POS_evidence"":[]}]"
1405221276.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,1,valid,,Two dogs shaking themselves dry on the sand.,Two dogs shake off water to get dry.,"isa_wn(shake, shake off); isa_wn(dry, get dry)","[[""dry"",""get dry""],[""shake"",""shake off""]]",0,4,0,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""dry"",""lemma"":""dry"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""dry"",""pos_tags"":[""JJ""]},{""sentence"":""hypothesis"",""span"":""dry"",""pos_tags"":[""JJ""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""get dry"",""lemma"":""get dry"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""get dry"",""pos_tags"":[""VB"",""JJ""]}]},{""relation_index"":2,""argument_index"":1,""argument"":""shake"",""lemma"":""shake"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""shake"",""pos_tags"":[""VBP""]}]},{""relation_index"":2,""argument_index"":2,""argument"":""shake off"",""lemma"":""shake off"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""shake off"",""pos_tags"":[""VBP"",""RP""]}]}]"
1412,lasha,anthropic/claude-haiku-4.5,1,valid,,Men are sawing logs,Men are cutting wood,"isa_wn(saw, cut); isa_wn(log, wood)","[[""log"",""wood""],[""saw"",""cut""]]",0,1,3,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""log"",""lemma"":""log"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":1,""argument_index"":2,""argument"":""wood"",""lemma"":""wood"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""wood"",""pos_tags"":[""NN""]}]},{""relation_index"":2,""argument_index"":1,""argument"":""saw"",""lemma"":""saw"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":2,""argument_index"":2,""argument"":""cut"",""lemma"":""cut"",""decision"":""absent"",""POS_evidence"":[]}]"
1425529973.jpg#2r1e,lasha,anthropic/claude-haiku-4.5,1,valid,,A man perched on a row of aquariums is using a net to scoop a fish from another aquarium.,A man is moving aquatic life.,"isa_wn(fish, aquatic life); isa_wn(scoop, move)","[[""fish"",""aquatic life""],[""scoop"",""move""]]",0,3,1,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""fish"",""lemma"":""fish"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""fish"",""pos_tags"":[""NN""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""aquatic life"",""lemma"":""aquatic life"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""aquatic life"",""pos_tags"":[""JJ"",""NN""]}]},{""relation_index"":2,""argument_index"":1,""argument"":""scoop"",""lemma"":""scoop"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""scoop"",""pos_tags"":[""VB""]}]},{""relation_index"":2,""argument_index"":2,""argument"":""move"",""lemma"":""move"",""decision"":""absent"",""POS_evidence"":[]}]"
147236031.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,valid,,An Asian woman is looking at the camera while trimming asparagus.,Woman cuts vegetables.,"isa_wn(trim, cut); isa_wn(asparagus, vegetable)","[[""asparagus"",""vegetable""],[""trim"",""cut""]]",0,1,3,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""asparagus"",""lemma"":""asparagus"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""asparagus"",""pos_tags"":[""NN""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""vegetable"",""lemma"":""vegetable"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":2,""argument_index"":1,""argument"":""trim"",""lemma"":""trim"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":2,""argument_index"":2,""argument"":""cut"",""lemma"":""cut"",""decision"":""absent"",""POS_evidence"":[]}]"
