Problem ID,Setting,Premise,Hypothesis,One-shot LEX,Agentic LEX,Agentic change,Quality judgment,Reason
2282600972.jpg#2r1e,WordNet + LLM,Two skiers stand near a snowy mountain.,Some humans standing.,"{isa_wn(skier, human)}","{isa_wn(skier, human); isa_wn(stand, standing); isa_wn(standing, stand)}","added: isa_wn(stand, standing); isa_wn(standing, stand)",,
254527963.jpg#1r1e,WordNet + LLM,A black dog is running along the beach.,a dog is running on the beach,{},"{isa_wn(black dog, dog); isa_wn(running along, running on); isa_wn(run along, run on); isa_wn(along, on)}","added: isa_wn(black dog, dog); isa_wn(running along, running on); isa_wn(run along, run on); isa_wn(along, on)",,
2740013516.jpg#4r1e,WordNet + LLM,Safety officers standing outside.,Safety officers outdoors.,"{isa_wn(outside, outdoors)}","{isa_wn(standing outside, outdoors); isa_wn(stand outside, outdoors)}","added: isa_wn(standing outside, outdoors); isa_wn(stand outside, outdoors) | removed: isa_wn(outside, outdoors)",,
2930616480.jpg#0r2e,WordNet + LLM,A female is wearing a big purple flower in her hair and has some beads around her neck.,a girl with a flower in her hair,"{isa_wn(female, girl)}","{isa_wn(female, girl); isa_wn(wear, with); isa_wn(have, with)}","added: isa_wn(wear, with); isa_wn(have, with)",,
3197194113.jpg#0r2e,WordNet + LLM,"A man wearing a black hat, white shirt, red vest, black tie, and face makeup is swallowing a sword, while a man wearing a cowboy hat behind him is watching.",A man is performing.,"{isa_wn(swallow sword, perform)}","{isa_wn(swallow, perform)}","added: isa_wn(swallow, perform) | removed: isa_wn(swallow sword, perform)",,
3522349685.jpg#0r1e,WordNet + LLM,"A little girl is petting her white, fluffy cat.",The girl has a pet.,"{isa_wn(cat, pet)}","{isa_wn(little girl, girl); isa_wn(cat, pet); isa_wn(petting, has); isa_wn(pet, have)}","added: isa_wn(little girl, girl); isa_wn(petting, has); isa_wn(pet, have)",,
3706356018.jpg#4r1e,WordNet + LLM,Little kids are on an amusement park ride.,Children are on a ride.,"{isa_wn(little kid, child)}","{isa_wn(little kids, children); isa_wn(little kid, children); isa_wn(amusement park ride, ride)}","added: isa_wn(little kids, children); isa_wn(little kid, children); isa_wn(amusement park ride, ride) | removed: isa_wn(little kid, child)",,
3709301369.jpg#3r1e,WordNet + LLM,Man in blue shirt playing water instrument in an orchestra.,The man is wearing blue,"{isa_wn(blue shirt, blue)}","{isa_wn(in, wearing); isa_wn(in, wear); isa_wn(blue shirt, blue)}","added: isa_wn(in, wearing); isa_wn(in, wear)",,
4151285133.jpg#3r1e,WordNet + LLM,A man on an elevator looks at the mirror on the wall.,A person in the elevator looks at a mirror.,"{isa_wn(man, person)}","{isa_wn(man, person); isa_wn(on, in); isa_wn(mirror on the wall, mirror)}","added: isa_wn(on, in); isa_wn(mirror on the wall, mirror)",,
470458461.jpg#2r1e,WordNet + LLM,A child wearing a rainbow striped shirt is pushing a toy cart.,A child has a toy.,"{isa_wn(toy cart, toy)}","{isa_wn(push, have); isa_wn(toy cart, toy)}","added: isa_wn(push, have)",,
856985136.jpg#2r1e,WordNet + LLM,Young blond woman putting her foot into a water fountain,A person is dipping her foot into water.,"{isa_wn(young blond woman, person); isa_wn(water fountain, water)}","{isa_wn(young blond woman, person); isa_wn(put into, dip into); isa_wn(put, dip)}","added: isa_wn(put into, dip into); isa_wn(put, dip) | removed: isa_wn(water fountain, water)",,
vg_len95r3e,WordNet + LLM,The blonde tennis player is wearing a white shirt and a green tennis skirt.,The tennis playing is wearing a green skirt.,"{isa_wn(tennis skirt, skirt); isa_wn(skirt, tennis skirt)}","{isa_wn(tennis skirt, skirt); isa_wn(skirt, tennis skirt); isa_wn(tennis player, tennis playing); isa_wn(tennis player, tennis play); isa_wn(player, playing)}","added: isa_wn(tennis player, tennis playing); isa_wn(tennis player, tennis play); isa_wn(player, playing)",,
vg_verb119r2e,WordNet + LLM,Adjusting a tie for accuracy.,Fixing a tie.,"{isa_wn(adjust, fix)}","{isa_wn(adjusting, fixing); isa_wn(adjust, fix); isa_wn(adjusting for accuracy, fixing); isa_wn(adjust for accuracy, fix)}","added: isa_wn(adjusting, fixing); isa_wn(adjusting for accuracy, fixing); isa_wn(adjust for accuracy, fix)",,
vg_verb51r3e,WordNet + LLM,The bird's feet are grasping the window tightly.,there is a bird resting,{},"{isa_wn(grasp, rest)}","added: isa_wn(grasp, rest)",,
1357753846.jpg#1r1e,LLM only,A black dog is walking through a stream of water.,An animal is walking through water.,"{isa_wn(dog, animal)}","{isa_wn(black dog, animal); isa_wn(stream, water)}","added: isa_wn(black dog, animal); isa_wn(stream, water) | removed: isa_wn(dog, animal)",,
2282600972.jpg#2r1e,LLM only,Two skiers stand near a snowy mountain.,Some humans standing.,"{isa_wn(skier, human)}","{isa_wn(skier, human); isa_wn(stand, standing); isa_wn(standing, stand)}","added: isa_wn(stand, standing); isa_wn(standing, stand)",,
254527963.jpg#1r1e,LLM only,A black dog is running along the beach.,a dog is running on the beach,{},"{isa_wn(black dog, dog); isa_wn(running along, running on); isa_wn(run along, run on); isa_wn(along, on)}","added: isa_wn(black dog, dog); isa_wn(running along, running on); isa_wn(run along, run on); isa_wn(along, on)",,
2549933281.jpg#1r1e,LLM only,An Asian woman in a floral wedding dress poses on a bridge close to her bridesmaids.,An asian women is wearing a wedding dress.,{},"{isa_wn(woman, women); isa_wn(women, woman); isa_wn(in, wear); isa_wn(floral wedding dress, wedding dress); isa_wn(floral wed dress, wed dress)}","added: isa_wn(woman, women); isa_wn(women, woman); isa_wn(in, wear); isa_wn(floral wedding dress, wedding dress); isa_wn(floral wed dress, wed dress)",,
2688731661.jpg#2r1e,LLM only,A lady walking down stairs with a green poster pod on her back.,A woman walking down stairs with a green thing on her back.,"{isa_wn(poster pod, thing)}","{isa_wn(lady, woman); isa_wn(poster pod, thing)}","added: isa_wn(lady, woman)",,
2740013516.jpg#4r1e,LLM only,Safety officers standing outside.,Safety officers outdoors.,"{isa_wn(outside, outdoors)}","{isa_wn(standing outside, outdoors); isa_wn(stand outside, outdoors)}","added: isa_wn(standing outside, outdoors); isa_wn(stand outside, outdoors) | removed: isa_wn(outside, outdoors)",,
3197194113.jpg#0r2e,LLM only,"A man wearing a black hat, white shirt, red vest, black tie, and face makeup is swallowing a sword, while a man wearing a cowboy hat behind him is watching.",A man is performing.,"{isa_wn(swallow sword, perform)}","{isa_wn(swallowing, performing); isa_wn(swallow, perform)}","added: isa_wn(swallowing, performing); isa_wn(swallow, perform) | removed: isa_wn(swallow sword, perform)",,
