ID,dataset,split,premise,hypothesis,gold_label,annotator_count,all_present_exact_match,Alternative_KB,Ettore_KB,Jorryt_KB,Lasha_KB,Stefan_KB,Ettore_Jorryt_match,Ettore_Lasha_match,Ettore_Stefan_match,Jorryt_Lasha_match,Jorryt_Stefan_match,Lasha_Stefan_match
114368470.jpg#1r1e,snli,dev,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,2,FALSE,"(boy, he); (stand, wait)","(stand, wait)",NO_RELATION,,NO_RELATION,FALSE,,FALSE,,FALSE,
1184967930.jpg#4r4e,snli,train,A dog in a field.,A dog is in grass.,entailment,3,FALSE,,,NO_RELATION,NO_RELATION,"(field, grass)",,,,TRUE,FALSE,FALSE
1192,sick,dev,A man and a woman are walking together through the woods,A man and a woman are walking through a wooded area,entailment,3,TRUE,,,"(woods, wooded area)","(woods, wooded area)","(woods, wooded area)",,,,FALSE,FALSE,TRUE
119364730.jpg#3r1e,snli,train,"A man wearing a plastic bib with a crab on it, holds up a wooden hammer.",A man holding a hammer.,entailment,2,FALSE,,NO_RELATION,NO_RELATION,"(hold up, hold)",,TRUE,FALSE,,FALSE,,
1262,sick,test,A band is performing onstage,A band is playing onstage,entailment,2,TRUE,,"(perform, play)","(perform, play)","(perform, play)",,TRUE,TRUE,,TRUE,,
1403064674.jpg#3r1e,snli,dev,A guy looking out over the scenic forest.,A person is viewing the forest.,entailment,2,FALSE,,"(guy, person); (look, view)",,"(guy, person); (look out, view)","(guy, person); (look out, view)",,FALSE,FALSE,,,TRUE
1405221276.jpg#4r1e,snli,dev,Two dogs shaking themselves dry on the sand.,Two dogs shake off water to get dry.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,FALSE,TRUE,,FALSE,,
1412,sick,dev,Men are sawing logs,Men are cutting wood,entailment,2,TRUE,,"(log, wood); (saw, cut)","(log, wood); (saw, cut)",,"(saw, cut); (log, wood)",FALSE,,FALSE,,FALSE,
1425529973.jpg#2r1e,snli,dev,A man perched on a row of aquariums is using a net to scoop a fish from another aquarium.,A man is moving aquatic life.,entailment,3,FALSE,,,"(fish, aquatic life)","(fish, aquatic life); (scoop, move)","(fish, aquatic life)",,,,FALSE,FALSE,FALSE
147236031.jpg#1r1e,snli,dev,An Asian woman is looking at the camera while trimming asparagus.,Woman cuts vegetables.,entailment,2,TRUE,,"(asparagus, vegetable); (trim, cut)",,"(asparagus, vegetable); (trim, cut)","(asparagus, vegetable); (trim, cut)",,TRUE,TRUE,,,TRUE
